date;categoryName;payee;comment;outcomeAccountName;outcome;outcomeCurrencyShortTitle;incomeAccountName;income;incomeCurrencyShortTitle;createdDate;changedDate;qrCode
2022-03-20;"Одяг та догляд / Одяг";"Forum Lviv (Форум Львів)";;"Monobank";"154";UAH;"Monobank";"0";UAH;"2022-03-20 11:52:51";"2022-03-21 11:34:40";
2022-03-20;"Різне / Подарунки";"ENGLISH HOME";;"Monobank";"235";UAH;"Monobank";"0";UAH;"2022-03-20 11:33:45";"2022-03-21 16:37:11";
2022-03-19;"Авто / Обслуговування";;"Мийка";"Готівка";"300";UAH;"Готівка";"0";UAH;"2022-03-20 11:17:58";"2022-03-20 19:30:30";
2022-03-19;"Подорожі / Кафе і ресторани";"VarenikiTUTLviv1";;"Monobank";"130.68";UAH;"Monobank";"0";UAH;"2022-03-19 17:15:01";"2022-03-24 17:21:40";
2022-03-19;"Подорожі / Кафе і ресторани";"Silpo Grill Bar";;"Monobank";"140";UAH;"Monobank";"0";UAH;"2022-03-19 17:10:09";"2022-03-24 17:21:40";
2022-03-19;"Різне / Інше";;"Друк Федорова";"Готівка";"30";UAH;"Готівка";"0";UAH;"2022-03-19 16:46:26";"2022-03-19 16:46:39";
2022-03-19;"Одяг та догляд / Одяг";"Magazin cholovchogo od";;"Monobank";"500";UAH;"Monobank";"0";UAH;"2022-03-19 15:48:23";"2022-03-24 17:21:40";
2022-03-19;"Різне / Інше";;"Довіреність ";"Monobank";"1200";UAH;"Monobank";"0";UAH;"2022-03-19 13:41:29";"2022-03-19 14:36:41";
2022-03-19;"Побутова хімія";"Pralnia";;"Monobank";"150";UAH;"Monobank";"0";UAH;"2022-03-19 12:25:41";"2022-03-20 19:30:30";
2022-03-19;"Подорожі / Кафе і ресторани";"SDV Coffee";;"Monobank";"98";UAH;"Monobank";"0";UAH;"2022-03-19 10:43:17";"2022-03-20 11:17:34";
2022-03-19;"Подорожі / Кафе і ресторани";"Андрій Зайцев";;"Monobank";"280";UAH;"Monobank";"0";UAH;"2022-03-19 09:49:50";"2022-03-19 11:53:03";
2022-03-19;"Різне / Благодійність";"Підтримка армії (єдиний рахунок)";;"Monobank";"2000";UAH;"Monobank";"0";UAH;"2022-03-19 09:42:38";"2022-03-24 17:21:40";
2022-03-18;"Різне / Благодійність";"Підтримка армії (єдиний рахунок)";;"Monobank";"2000";UAH;"Monobank";"0";UAH;"2022-03-18 21:27:58";"2022-03-24 17:21:40";
2022-03-18;"Подорожі / Кафе і ресторани";"Lopht71";;"Monobank";"451";UAH;"Monobank";"0";UAH;"2022-03-18 20:52:54";"2022-03-24 17:21:40";
2022-03-18;"Одяг та догляд / Одяг";"Дашуля";"Худі";"Monobank";"2200";UAH;"Monobank";"0";UAH;"2022-03-18 15:00:55";"2022-03-18 16:46:57";
2022-03-18;"Подорожі / Кафе і ресторани";"CoffeeLab";;"Monobank";"42";UAH;"Monobank";"0";UAH;"2022-03-18 15:45:59";"2022-03-24 17:21:40";
2022-03-18;"Різне / Подарунки";"Дашуля";;"Monobank";"250";UAH;"Monobank";"0";UAH;"2022-03-18 15:58:45";"2022-03-24 17:21:40";
2022-03-17;"Подорожі / Кафе і ресторани";"Lviv Croissants";;"Monobank";"70";UAH;"Monobank";"0";UAH;"2022-03-17 13:36:12";"2022-03-24 17:21:40";
2022-03-16;;;;"Monobank";"4071.73";UAH;"УкрСиббанк";"4071.73";UAH;"2022-03-16 09:30:19";"2022-03-16 09:30:22";
2022-03-16;"Подорожі / Кафе і ресторани";"Glovo";;"Monobank";"610";UAH;"Monobank";"0";UAH;"2022-03-16 15:01:15";"2022-03-24 17:21:40";
2022-03-15;"Подорожі / Кафе і ресторани";"CoffeeLab";;"Monobank";"84";UAH;"Monobank";"0";UAH;"2022-03-15 13:53:49";"2022-03-16 09:31:09";
2022-03-15;;;;"УкрСиббанк";"3300";UAH;"Готівка";"3300";UAH;"2022-03-15 14:46:56";"2022-03-15 14:46:57";
2022-03-14;"Подорожі / Кафе і ресторани";"Glovo";;"Monobank";"339";UAH;"Monobank";"0";UAH;"2022-03-14 15:46:53";"2022-03-15 14:46:37";
2022-03-14;"Підписки / YouTube";"YouTube";;"Monobank";"99";UAH;"Monobank";"0";UAH;"2022-03-14 07:56:34";"2022-03-28 21:12:03";
2022-03-13;"Різне / Подарунки";"Jasmine";;"Monobank";"271";UAH;"Monobank";"0";UAH;"2022-03-13 13:24:23";"2022-03-14 08:54:31";
2022-03-13;"Підписки / Мобільний";"Київстар+380681215819";;"Monobank";"210.67";UAH;"Monobank";"0";UAH;"2022-03-13 11:39:52";"2022-03-24 17:21:40";
2022-03-13;"Різне / Подарунки";"MAKEUP";;"Monobank";"943";UAH;"Monobank";"0";UAH;"2022-03-13 19:17:16";"2022-03-16 09:31:09";
2022-03-13;"Подорожі / Кафе і ресторани";"IloveKebab";;"Monobank";"160";UAH;"Monobank";"0";UAH;"2022-03-13 15:02:51";"2022-03-16 09:31:09";
2022-03-13;"Подорожі / Кафе і ресторани";"CoffeeLab";;"Monobank";"84";UAH;"Monobank";"0";UAH;"2022-03-13 14:17:53";"2022-03-16 09:31:09";
2022-03-13;"Подорожі / Готель";;;"Готівка";"100";UAH;"Готівка";"0";UAH;"2022-03-13 14:01:21";"2022-03-13 19:29:54";
2022-03-12;"Подорожі / Кафе і ресторани";"KAFETSUKERNYA";;"Monobank";"278.15";UAH;"Monobank";"0";UAH;"2022-03-12 15:41:37";"2022-03-13 11:51:37";
2022-03-12;"Подорожі / Кафе і ресторани";"Ангеліна Я.";;"Monobank";"365";UAH;"Monobank";"0";UAH;"2022-03-12 17:59:22";"2022-03-24 17:21:40";
2022-03-12;"Подорожі / Продукти";"Сільпо";;"Monobank";"121.83";UAH;"Monobank";"0";UAH;"2022-03-12 17:19:01";"2022-03-16 09:31:09";
2022-03-11;"Подорожі / Кафе і ресторани";"Lopht71";;"Monobank";"401";UAH;"Monobank";"0";UAH;"2022-03-11 20:29:10";"2022-03-16 09:31:09";
2022-03-11;"Подорожі / Кафе і ресторани";"IloveKebab";;"Monobank";"90";UAH;"Monobank";"0";UAH;"2022-03-11 16:47:19";"2022-03-16 09:31:09";
2022-03-11;"Одяг та догляд / Аптека";"Apteka";;"Monobank";"30";UAH;"Monobank";"0";UAH;"2022-03-11 16:44:57";"2022-03-16 09:31:09";
2022-03-11;"Подорожі / Кафе і ресторани";;;"Готівка";"85";UAH;"Готівка";"0";UAH;"2022-03-11 13:33:40";"2022-03-11 13:34:59";
2022-03-10;"Подорожі / Кафе і ресторани";"Світлана Б.";;"Monobank";"445";UAH;"Monobank";"0";UAH;"2022-03-10 17:33:04";"2022-03-11 13:33:24";
2022-03-10;"Подорожі / Продукти";"Roshen";;"Monobank";"219.06";UAH;"Monobank";"0";UAH;"2022-03-10 18:00:52";"2022-03-16 09:31:09";
2022-03-08;"Подорожі / Кафе і ресторани";"Lopht71";;"Monobank";"461";UAH;"Monobank";"0";UAH;"2022-03-08 20:36:56";"2022-03-16 09:31:09";
2022-03-08;"Подорожі / Кафе і ресторани";"CoffeeLab";;"Monobank";"84";UAH;"Monobank";"0";UAH;"2022-03-08 11:49:58";"2022-03-16 09:31:09";
2022-03-08;"Різне / Квіти";;;"Готівка";"500";UAH;"Готівка";"0";UAH;"2022-03-08 11:15:14";"2022-03-08 11:15:45";
2022-03-07;"Подорожі / Кафе і ресторани";"Lopht71";;"Monobank";"381";UAH;"Monobank";"0";UAH;"2022-03-07 20:57:43";"2022-03-08 11:02:23";
2022-03-07;"Різне / Подарунки";"Brocard";;"Monobank";"752.5";UAH;"Monobank";"0";UAH;"2022-03-07 13:50:24";"2022-03-08 11:02:23";
2022-03-07;"Подорожі / Кафе і ресторани";"Lviv Croissants";;"Monobank";"200";UAH;"Monobank";"0";UAH;"2022-03-07 14:04:33";"2022-03-16 09:31:09";
2022-03-06;"Подорожі / Продукти";"Сільпо";;"Monobank";"236.55";UAH;"Monobank";"0";UAH;"2022-03-06 13:30:31";"2022-03-07 08:04:04";
2022-03-06;"Різне / Благодійність";"Підтримка армії (єдиний рахунок)";;"Monobank";"2000";UAH;"Monobank";"0";UAH;"2022-03-06 09:18:10";"2022-03-06 09:20:30";
2022-03-06;"Підписки / Мобільний";"Київстар+380681215819";;"Monobank";"5";UAH;"Monobank";"0";UAH;"2022-03-06 09:17:31";"2022-03-06 09:20:30";
2022-03-06;"Підписки / Мобільний";"Київстар+380681215819";;"Monobank";"5";UAH;"Monobank";"0";UAH;"2022-03-06 09:15:30";"2022-03-06 09:20:30";
2022-03-06;"Різне / Благодійність";"Поповнення «Броніжелет + Каска»";;"Monobank";"5000";UAH;"Monobank";"0";UAH;"2022-03-06 22:48:03";"2022-03-08 11:15:45";
2022-03-06;"Подорожі / Кафе і ресторани";"Lopht71";;"Monobank";"441";UAH;"Monobank";"0";UAH;"2022-03-06 19:41:58";"2022-03-07 08:04:04";
2022-03-05;;;;"Monobank";"17274.28";UAH;"Ethereum";"200000";ETH;"2022-03-05 12:40:53";"2022-03-06 20:00:00";
2022-03-05;;;;"Monobank";"25536.21";UAH;"Bitcoin";"20000";BTC;"2022-03-05 12:43:13";"2022-03-06 20:00:00";
2022-03-05;"Подорожі / Кафе і ресторани";"Lopht71";;"Monobank";"441";UAH;"Monobank";"0";UAH;"2022-03-05 19:50:33";"2022-03-06 09:20:30";
2022-03-05;"Різне / Благодійність";"Підтримка армії (єдиний рахунок)";;"Monobank";"2000";UAH;"Monobank";"0";UAH;"2022-03-05 11:00:56";"2022-03-05 11:21:25";
2022-03-04;"Подорожі / Кафе і ресторани";"Lopht71";;"Monobank";"441";UAH;"Monobank";"0";UAH;"2022-03-04 19:58:58";"2022-03-05 11:10:02";
2022-03-04;"Подорожі / Кафе і ресторани";"Lopht71";;"Monobank";"264";UAH;"Monobank";"0";UAH;"2022-03-04 15:35:14";"2022-03-05 11:10:02";
2022-03-04;"Подорожі / Кафе і ресторани";"CoffeeLab";;"Monobank";"127";UAH;"Monobank";"0";UAH;"2022-03-04 11:43:00";"2022-03-05 11:10:02";
2022-03-04;"Різне / Благодійність";"Підтримка армії (єдиний рахунок)";;"Monobank";"2000";UAH;"Monobank";"0";UAH;"2022-03-04 09:43:31";"2022-03-04 09:52:38";
2022-03-03;;;;"Monobank";"14150.62";UAH;"Ethereum";"150400";ETH;"2022-03-03 11:31:05";"2022-03-19 11:52:34";
2022-03-03;;;;"Monobank";"14046.44";UAH;"Ethereum";"150000";ETH;"2022-03-03 11:59:01";"2022-03-19 11:52:34";
2022-03-03;;;;"Monobank";"14054.18";UAH;"Bitcoin";"10020";BTC;"2022-03-03 12:02:10";"2022-03-19 11:52:34";
2022-03-03;"Подорожі / Кафе і ресторани";"Lopht71";;"Monobank";"331";UAH;"Monobank";"0";UAH;"2022-03-03 15:29:28";"2022-03-04 09:52:38";
2022-03-03;"Різне / Благодійність";"Підтримка армії (єдиний рахунок)";;"Monobank";"2000";UAH;"Monobank";"0";UAH;"2022-03-03 09:57:25";"2022-03-03 10:14:41";
2022-03-03;;;;"Monobank";"502.5";UAH;"Готівка";"500";UAH;"2022-03-03 16:28:09";"2022-03-04 16:54:39";
2022-03-02;;;;"УкрСиббанк";"50000";UAH;"Monobank";"50000";UAH;"2022-03-02 13:05:12";"2022-03-02 16:38:22";
2022-03-02;"Подорожі / Кафе і ресторани";"Lopht71";;"Monobank";"441";UAH;"Monobank";"0";UAH;"2022-03-02 19:37:05";"2022-03-03 10:14:41";
2022-03-02;"Підписки / Spotify";"Хобс";;"Monobank";"99.99";UAH;"Monobank";"0";UAH;"2022-03-02 09:04:27";"2022-03-02 09:23:26";
2022-03-02;"Різне / Благодійність";"Підтримка армії (єдиний рахунок)";;"Monobank";"2000";UAH;"Monobank";"0";UAH;"2022-03-02 08:03:33";"2022-03-02 16:38:22";
2022-03-02;"Подорожі / Готель";;"Чаюха в готелі ";"Готівка";"200";UAH;"Готівка";"0";UAH;"2022-03-03 12:36:02";"2022-03-03 12:36:17";
2022-03-01;"Зарплата";;;"УкрСиббанк";"0";UAH;"УкрСиббанк";"157001.14";UAH;"2022-03-03 12:35:44";"2022-03-03 12:36:17";
2022-03-01;;;;"УкрСиббанк";"57001.14";UAH;"Monobank";"57001.14";UAH;"2022-03-01 11:32:48";"2022-03-02 16:38:22";
2022-03-01;"Подорожі / Кафе і ресторани";"Lopht71";;"Monobank";"441";UAH;"Monobank";"0";UAH;"2022-03-01 20:21:29";"2022-03-02 13:26:07";
2022-03-01;"Підписки / Google";"Google";;"Monobank";"69.99";UAH;"Monobank";"0";UAH;"2022-03-01 11:08:05";"2022-03-02 13:26:07";
2022-03-01;"Різне / Благодійність";"Повернись живим";;"Monobank";"2000";UAH;"Monobank";"0";UAH;"2022-03-01 10:20:52";"2022-03-01 10:40:52";
2022-03-01;"Авто / Парковка";"Алла М";;"Monobank";"2400";UAH;"Monobank";"0";UAH;"2022-03-01 09:05:35";"2022-03-01 09:20:44";
2022-03-01;"Відсотки і кешбек";;"Відсотки за лютий";"Monobank";"0";UAH;"Monobank";"40.16";UAH;"2022-03-01 03:37:35";"2022-03-01 08:15:35";
2022-03-01;"Подорожі / Продукти";"magazin 3000927";;"Monobank";"2220.62";UAH;"Monobank";"0";UAH;"2022-03-01 13:47:56";"2022-03-02 16:38:22";
2022-03-01;"Подорожі / Кафе і ресторани";"Lopht71";;"Monobank";"331";UAH;"Monobank";"0";UAH;"2022-03-01 15:42:55";"2022-03-02 13:26:07";
2022-02-28;;;;"УкрСиббанк";"49000";UAH;"Monobank";"49000";UAH;"2022-02-28 12:40:28";"2022-02-28 16:04:59";
2022-02-28;"Подорожі / Продукти";"Roshen";;"Monobank";"152.59";UAH;"Monobank";"0";UAH;"2022-02-28 18:55:30";"2022-03-01 11:47:26";
2022-02-28;"Подорожі / Продукти";"Близенько";;"Monobank";"440.91";UAH;"Monobank";"0";UAH;"2022-02-28 18:50:55";"2022-03-01 09:20:44";
2022-02-28;"Різне / Благодійність";"Повернись живим";;"Monobank";"2000";UAH;"Monobank";"0";UAH;"2022-02-28 09:09:52";"2022-02-28 09:29:27";
2022-02-28;"Подорожі / Продукти";"Близенько";;"Monobank";"133.43";UAH;"Monobank";"0";UAH;"2022-02-28 18:52:37";"2022-03-01 09:20:44";
2022-02-28;"Подорожі / Кафе і ресторани";"Lopht71";;"Monobank";"441";UAH;"Monobank";"0";UAH;"2022-02-28 16:09:39";"2022-03-01 08:15:35";
2022-02-28;"Різне / Благодійність";"Apteka24";;"Monobank";"3956.6";UAH;"Monobank";"0";UAH;"2022-02-28 13:38:32";"2022-03-01 08:15:35";
2022-02-28;"Подорожі / Готель";;"Чаюха ";"Готівка";"200";UAH;"Готівка";"0";UAH;"2022-02-28 22:32:49";"2022-02-28 22:32:49";
2022-02-27;"Різне / Благодійність";"Повернись живим";;"Monobank";"2000";UAH;"Monobank";"0";UAH;"2022-02-27 09:18:18";"2022-02-27 09:30:21";
2022-02-27;"Різне / Благодійність";"MESSAGEBIRD.COM";"Спам русні";"Monobank";"1090.34";UAH;"Monobank";"0";UAH;"2022-02-27 19:04:01";"2022-02-28 16:04:16";
2022-02-27;;;;"УкрСиббанк";"1000";UAH;"Готівка";"1000";UAH;"2022-02-27 14:13:01";"2022-02-27 14:13:07";
2022-02-27;;;;"Monobank";"1005";UAH;"Готівка";"1005";UAH;"2022-02-27 14:12:08";"2022-02-28 16:04:16";
2022-02-27;"Побутова хімія";;;"Готівка";"240";UAH;"Готівка";"0";UAH;"2022-02-27 14:08:05";"2022-02-27 14:08:08";
2022-02-26;;;;"Monobank";"12559.8";UAH;"Bitcoin";"10000";BTC;"2022-02-26 00:24:44";"2022-02-28 12:28:00";
2022-02-26;"Різне / Благодійність";"Повернись живим";;"Monobank";"2000";UAH;"Monobank";"0";UAH;"2022-02-26 10:21:58";"2022-02-26 10:30:37";
2022-02-26;"Підписки / Google";"Google";;"Monobank";"45";UAH;"Monobank";"0";UAH;"2022-02-26 10:22:54";"2022-02-27 19:13:28";
2022-02-26;"Подорожі / Кафе і ресторани";;"Глово ";"Готівка";"500";UAH;"Готівка";"0";UAH;"2022-02-26 17:25:42";"2022-02-26 17:25:44";
2022-02-25;;;;"УкрСиббанк";"41348.68";UAH;"Monobank";"41348.68";UAH;"2022-02-25 18:18:12";"2022-02-25 18:30:07";
2022-02-25;"Різне / Благодійність";"Повернись живим";;"Monobank";"2603";UAH;"Monobank";"0";UAH;"2022-02-25 16:33:04";"2022-02-25 18:43:58";
2022-02-24;"Зарплата";;;"УкрСиббанк";"0";UAH;"УкрСиббанк";"86302.33";UAH;"2022-02-25 18:54:28";"2022-02-25 18:55:40";
2022-02-24;"Подорожі / Кафе і ресторани";"Lopht71";;"Monobank";"354";UAH;"Monobank";"0";UAH;"2022-02-24 20:58:26";"2022-02-25 14:15:00";
2022-02-24;"Подорожі / Продукти";"OKKO";"Вода + печенюхи";"Monobank";"87.8";UAH;"Monobank";"0";UAH;"2022-02-24 11:38:39";"2022-02-26 11:56:16";
2022-02-24;"Подорожі / Продукти";"Близенько";;"Monobank";"350.04";UAH;"Monobank";"0";UAH;"2022-02-24 19:23:02";"2022-02-25 18:39:33";
2022-02-24;;;;"УкрСиббанк";"1000";UAH;"Готівка";"1000";UAH;"2022-02-25 18:55:09";"2022-02-25 18:55:40";
2022-02-24;;;;"Monobank";"1005";UAH;"Готівка";"1005";UAH;"2022-02-24 19:41:41";"2022-02-25 14:15:00";
2022-02-24;;"Батьки";;"Готівка Долар";"5000";USD;"Борги";"5000";UAH;"2022-02-25 18:56:43";"2022-02-25 18:57:17";
2022-02-23;"Подорожі / Кафе і ресторани";"Добрий Друг";;"Monobank";"743";UAH;"Monobank";"0";UAH;"2022-02-23 22:45:32";"2022-03-12 17:44:41";
2022-02-22;;;;"Monobank USD";"400";USD;"Stonks";"400";USD;"2022-02-22 16:44:50";"2022-02-25 18:39:33";
2022-02-22;;;;"Monobank";"7929.96";UAH;"Ethereum";"100000";ETH;"2022-02-22 11:40:02";"2022-02-25 18:39:33";
2022-02-22;;;"З гривневої картки На доларову картку";"Monobank";"11700";UAH;"Monobank USD";"400";USD;"2022-02-22 16:44:24";"2022-02-25 18:39:33";
2022-02-22;"Подорожі / Продукти";"Сільпо";;"Monobank";"386.57";UAH;"Monobank";"0";UAH;"2022-02-22 20:42:40";"2022-02-25 18:39:33";
2022-02-22;"Подорожі / Кафе і ресторани";"MolodoZeleno";;"Monobank";"40";UAH;"Monobank";"0";UAH;"2022-02-22 14:55:32";"2022-02-24 08:12:49";
2022-02-22;"Подорожі / Кафе і ресторани";"Lviv Croissants";;"Monobank";"70";UAH;"Monobank";"0";UAH;"2022-02-22 11:04:17";"2022-02-24 08:12:49";
2022-02-22;"Одяг та догляд / Аптека";"A566";;"Monobank";"204.99";UAH;"Monobank";"0";UAH;"2022-02-22 11:01:31";"2022-02-24 08:12:49";
2022-02-22;"Подорожі / Кафе і ресторани";"IloveKebab";;"Monobank";"80";UAH;"Monobank";"0";UAH;"2022-02-22 20:04:32";"2022-02-24 08:12:49";
2022-02-22;"Подорожі / Кафе і ресторани";"Molodozeleno1";;"Monobank";"325";UAH;"Monobank";"0";UAH;"2022-02-22 14:55:46";"2022-02-24 08:12:49";
2022-02-21;;;;"Monobank";"2055.28";UAH;"УкрСиббанк";"2055.28";UAH;"2022-02-21 19:32:33";"2022-02-25 18:33:20";
2022-02-21;"Подорожі / Кафе і ресторани";"Glovo";;"Monobank";"343";UAH;"Monobank";"0";UAH;"2022-02-21 18:58:50";"2022-02-25 18:48:59";
2022-02-21;"Продукти / Супермаркет";"Сільпо";;"Monobank";"41.78";UAH;"Monobank";"0";UAH;"2022-02-21 14:32:37";"2022-02-22 12:13:40";
2022-02-20;"Подорожі / Кафе і ресторани";"Glovo";;"Monobank";"330";UAH;"Monobank";"0";UAH;"2022-02-20 19:11:57";"2022-02-25 18:48:59";
2022-02-20;"Різне / Подарунки";"SheLovesit1";"Пахучка Victoria Secret ";"Monobank";"695";UAH;"Monobank";"0";UAH;"2022-02-20 21:18:44";"2022-02-25 18:43:58";
2022-02-20;"Різне / Подарунки";"SheLovesit1";"Трусєля Victoria Secret ";"Monobank";"1295";UAH;"Monobank";"0";UAH;"2022-02-20 17:35:31";"2022-02-25 18:43:58";
2022-02-20;"Одяг та догляд / Аптека";"A566";;"Monobank";"93.34";UAH;"Monobank";"0";UAH;"2022-02-20 21:26:16";"2022-02-21 19:12:18";
2022-02-19;"Подорожі / Кафе і ресторани";"Moun Coffee";;"Monobank";"58";UAH;"Monobank";"0";UAH;"2022-02-19 12:47:15";"2022-02-20 16:36:25";
2022-02-19;"Подорожі / Кафе і ресторани";"BEER CLUB DESIATKA";;"Monobank";"330";UAH;"Monobank";"0";UAH;"2022-02-19 14:44:06";"2022-02-21 14:42:12";
2022-02-19;"Подорожі / Кафе і ресторани";"TRUE BURGER BAR";;"Monobank";"411";UAH;"Monobank";"0";UAH;"2022-02-19 21:47:52";"2022-02-22 08:00:11";
2022-02-19;"Подорожі / Кафе і ресторани";"True Burger Bar";;"Monobank";"121";UAH;"Monobank";"0";UAH;"2022-02-19 21:47:30";"2022-02-22 08:00:11";
2022-02-18;;;;"УкрСиббанк";"30000";UAH;"Monobank";"30000";UAH;"2022-02-18 17:34:17";"2022-02-20 08:58:07";
2022-02-18;"Продукти / Супермаркет";"Сільпо";;"Monobank";"63.78";UAH;"Monobank";"0";UAH;"2022-02-18 21:31:06";"2022-02-19 20:09:05";
2022-02-18;"Подорожі / Кафе і ресторани";"Lviv Croissants";;"Monobank";"115";UAH;"Monobank";"0";UAH;"2022-02-18 16:28:47";"2022-02-20 08:57:31";
2022-02-17;"Подорожі / Кафе і ресторани";"MolodoZeleno";;"Monobank";"40";UAH;"Monobank";"0";UAH;"2022-02-17 20:08:30";"2022-02-18 21:31:49";
